Sensor ID, F8EA1B26FF86,,,,,
Timestamp,2017/10/21 11:36,,,,,
Samples,16382,,,,,
Interval,500ms,,,,,
,,,,,,
Sample #, Temperature, Humidity, Lux, Acc X, Acc Y, Acc Z
11:38:04,22.7,91.1,8,-0.3,-0.04,0.99
11:38:04,22.7,91.1,8,-0.3,-0.04,0.99
11:38:05,22.7,91.1,8,-0.3,-0.04,0.99
11:38:05,22.7,91.1,8,-0.3,-0.03,0.99
11:38:06,22.7,91.1,8,-0.3,-0.04,0.99
11:38:06,22.7,91.1,8,-0.3,-0.04,1
11:38:07,22.7,91.1,8,-0.3,-0.04,1
11:38:07,22.7,91.1,8,-0.3,-0.04,1
11:38:08,22.7,91,8,-0.3,-0.04,1
11:38:08,22.7,91.1,8,-0.3,-0.04,1
11:38:09,22.7,91.1,8,-0.3,-0.03,0.99
11:38:09,22.7,91,8,-0.3,-0.04,1
11:38:10,22.7,91.1,8,-0.3,-0.04,1
11:38:10,22.6,91,8,-0.3,-0.04,1
11:38:11,22.7,91.1,8,-0.3,-0.04,0.99
11:38:11,22.7,91,8,-0.3,-0.04,1
11:38:12,22.7,91,8,-0.3,-0.04,1
11:38:12,22.7,91.1,8,-0.3,-0.04,1
11:38:13,22.7,91.1,8,-0.3,-0.04,1
11:38:13,22.7,91,8,-0.3,-0.04,0.99
11:38:14,22.6,91,8,-0.3,-0.04,0.99
11:38:14,22.6,91,8,-0.3,-0.04,1
11:38:15,22.7,91,8,-0.3,-0.04,1
11:38:15,22.7,91,8,-0.3,-0.04,0.99
11:38:16,22.7,91,8,-0.3,-0.04,1
11:38:16,22.7,91.1,8,-0.3,-0.04,0.99
11:38:17,22.7,91,8,-0.3,-0.04,1
11:38:17,22.7,91.1,8,-0.3,-0.04,0.99
11:38:18,22.7,91,8,-0.3,-0.04,1
11:38:18,22.7,91,8,-0.3,-0.04,0.99
11:38:19,22.7,91,8,-0.3,-0.04,0.99
11:38:19,22.7,91,8,-0.3,-0.04,0.99
11:38:20,22.6,91,8,-0.3,-0.04,0.99
11:38:20,22.7,91,8,-0.3,-0.04,1
11:38:21,22.7,91,8,-0.3,-0.04,1
11:38:21,22.6,91,8,-0.3,-0.04,1
11:38:22,22.7,91,8,-0.3,-0.04,1
11:38:22,22.6,91,8,-0.3,-0.04,1
11:38:23,22.7,91,8,-0.3,-0.04,0.99
11:38:23,22.7,91,8,-0.3,-0.04,0.99
11:38:24,22.7,91,8,-0.3,-0.03,1
11:38:24,22.7,91,8,-0.3,-0.04,0.99
11:38:25,22.7,91,8,-0.3,-0.03,0.99
11:38:25,22.7,91,8,-0.3,-0.04,1
11:38:26,22.6,91,8,-0.3,-0.04,0.99
11:38:26,22.7,91,8,-0.3,-0.04,1
11:38:27,22.6,91,8,-0.3,-0.04,1
11:38:27,22.6,91,8,-0.3,-0.04,0.99
11:38:28,22.7,91,8,-0.3,-0.03,0.99
11:38:28,22.6,91,8,-0.3,-0.04,1
11:38:29,22.7,91,8,-0.3,-0.04,1
11:38:29,22.7,91,8,-0.3,-0.04,1
11:38:30,22.7,91,8,-0.3,-0.04,0.99
11:38:30,22.6,91,8,-0.3,-0.04,0.99
11:38:31,22.7,91,8,-0.3,-0.04,1
11:38:31,22.6,91,8,-0.3,-0.04,0.99
11:38:32,22.7,91,8,-0.3,-0.04,1
11:38:32,22.7,91,8,-0.3,-0.04,0.99
11:38:33,22.7,91,8,-0.3,-0.04,0.99
11:38:33,22.6,91,8,-0.3,-0.04,0.99
11:38:34,22.6,91,8,-0.3,-0.04,1
11:38:34,22.7,91,8,-0.3,-0.04,1
11:38:35,22.7,91,8,-0.3,-0.04,0.99
11:38:35,22.6,91,8,-0.3,-0.04,0.99
11:38:36,22.6,90.9,8,-0.3,-0.04,1
11:38:36,22.6,91,8,-0.3,-0.04,1
11:38:37,22.7,91,8,-0.3,-0.04,0.99
11:38:37,22.7,91,8,-0.3,-0.04,0.99
11:38:38,22.7,91,8,-0.3,-0.04,1
11:38:38,22.6,91,8,-0.3,-0.04,1
11:38:39,22.7,91,8,-0.3,-0.04,1
11:38:39,22.7,91,8,-0.3,-0.04,1
11:38:40,22.6,91,8,-0.3,-0.03,1
11:38:40,22.6,91,8,-0.3,-0.04,1
11:38:41,22.6,91,8,-0.3,-0.04,1
11:38:41,22.7,91,8,-0.3,-0.04,0.99
11:38:42,22.7,91,8,-0.3,-0.04,1
11:38:42,22.7,91,8,-0.3,-0.04,0.99
11:38:43,22.7,91,8,-0.3,-0.04,0.99
11:38:43,22.6,90.9,8,-0.3,-0.04,1
11:38:44,22.6,90.9,8,-0.3,-0.03,1
11:38:44,22.7,91,8,-0.3,-0.04,1
11:38:45,22.7,90.9,8,-0.3,-0.04,0.99
11:38:45,22.6,90.9,8,-0.3,-0.04,0.99
11:38:46,22.7,91,8,-0.3,-0.04,1
11:38:46,22.6,90.9,8,-0.3,-0.04,0.99
11:38:47,22.6,90.9,8,-0.3,-0.04,0.99
11:38:47,22.6,90.9,8,-0.3,-0.04,0.99
11:38:48,22.6,90.9,8,-0.3,-0.04,1
11:38:48,22.6,90.9,8,-0.3,-0.04,0.99
11:38:49,22.7,90.9,8,-0.3,-0.04,1
11:38:49,22.7,90.9,8,-0.3,-0.04,1
11:38:50,22.6,90.9,8,-0.3,-0.04,0.99
11:38:50,22.7,90.9,8,-0.3,-0.04,0.99
11:38:51,22.6,90.9,8,-0.3,-0.04,1
11:38:51,22.6,90.9,8,-0.3,-0.04,0.99
11:38:52,22.6,90.9,8,-0.3,-0.04,1
11:38:52,22.6,90.9,8,-0.3,-0.04,0.99
11:38:53,22.6,90.9,8,-0.3,-0.04,0.99
11:38:53,22.6,90.9,8,-0.3,-0.04,0.99
11:38:54,22.6,90.9,8,-0.3,-0.04,1
11:38:54,22.6,90.9,8,-0.3,-0.04,0.99
11:38:55,22.6,90.9,8,-0.3,-0.04,0.99
11:38:55,22.6,90.9,8,-0.3,-0.04,1
11:38:56,22.6,90.9,8,-0.3,-0.03,1
11:38:56,22.6,90.9,8,-0.3,-0.04,1
11:38:57,22.7,90.9,8,-0.3,-0.04,0.99
11:38:57,22.7,90.9,8,-0.3,-0.04,0.99
11:38:58,22.7,90.9,8,-0.3,-0.04,1
11:38:58,22.6,90.9,8,-0.3,-0.04,1
11:38:59,22.6,90.9,8,-0.3,-0.04,1
11:38:59,22.6,90.9,8,-0.3,-0.04,0.99
11:39:00,22.6,90.9,8,-0.3,-0.04,1
11:39:00,22.7,90.9,8,-0.3,-0.04,1
11:39:01,22.6,90.9,8,-0.3,-0.04,0.99
11:39:01,22.7,90.9,8,-0.3,-0.04,1
11:39:02,22.6,90.9,8,-0.3,-0.04,0.99
11:39:02,22.6,90.9,8,-0.3,-0.04,0.99
11:39:03,22.6,90.9,8,-0.3,-0.04,0.99
11:39:03,22.7,90.9,8,-0.3,-0.04,0.99
11:39:04,22.7,90.9,8,-0.3,-0.04,1
11:39:04,22.6,90.9,8,-0.3,-0.04,0.99
11:39:05,22.6,90.9,8,-0.3,-0.04,0.99
11:39:05,22.6,90.9,8,-0.3,-0.04,0.99
11:39:06,22.6,90.9,8,-0.3,-0.03,0.99
11:39:06,22.6,90.9,8,-0.3,-0.04,1
11:39:07,22.6,90.9,8,-0.3,-0.03,1
11:39:07,22.6,90.9,8,-0.3,-0.04,0.99
11:39:08,22.6,90.9,8,-0.3,-0.04,0.99
11:39:08,22.7,90.9,8,-0.3,-0.04,0.99
11:39:09,22.6,90.9,8,-0.3,-0.04,1
11:39:09,22.7,90.9,8,-0.3,-0.04,1
11:39:10,22.6,90.9,8,-0.3,-0.04,1
11:39:10,22.6,90.9,8,-0.3,-0.03,0.99
11:39:11,22.6,90.9,8,-0.3,-0.04,0.99
11:39:11,22.6,90.9,8,-0.3,-0.04,0.99
11:39:12,22.6,90.9,8,-0.3,-0.04,1
11:39:12,22.6,90.9,8,-0.3,-0.03,0.99
11:39:13,22.6,90.9,8,-0.3,-0.04,1
11:39:13,22.7,90.9,8,-0.3,-0.04,1
11:39:14,22.6,90.9,8,-0.3,-0.04,0.99
11:39:14,22.6,90.9,8,-0.3,-0.04,0.99
11:39:15,22.6,90.9,8,-0.3,-0.04,0.99
11:39:15,22.6,90.9,8,-0.3,-0.04,0.99
11:39:16,22.6,90.9,8,-0.3,-0.03,0.99
11:39:16,22.6,90.9,8,-0.3,-0.04,0.99
11:39:17,22.6,90.9,8,-0.3,-0.04,0.99
11:39:17,22.6,90.9,8,-0.3,-0.04,1
11:39:18,22.6,90.9,8,-0.3,-0.04,0.99
11:39:18,22.6,90.9,8,-0.3,-0.04,1
11:39:19,22.7,90.9,8,-0.3,-0.04,1
11:39:19,22.6,90.9,8,-0.3,-0.04,0.99
11:39:20,22.6,90.9,8,-0.3,-0.04,0.99
11:39:20,22.6,90.9,8,-0.3,-0.03,0.99
11:39:21,22.6,90.9,8,-0.3,-0.04,1
11:39:21,22.6,90.9,8,-0.3,-0.04,0.99
11:39:22,22.6,90.9,8,-0.3,-0.04,1
11:39:22,22.6,90.9,8,-0.3,-0.04,1
11:39:23,22.6,90.9,8,-0.3,-0.04,0.99
11:39:23,22.7,90.9,8,-0.3,-0.04,0.99
11:39:24,22.6,90.9,8,-0.3,-0.04,1
11:39:24,22.6,90.8,8,-0.3,-0.04,1
11:39:25,22.6,90.9,8,-0.3,-0.04,0.99
11:39:25,22.6,90.9,8,-0.3,-0.03,1
11:39:26,22.6,90.9,8,-0.3,-0.04,1
11:39:26,22.6,90.8,8,-0.3,-0.04,1
11:39:27,22.6,90.8,8,-0.3,-0.04,1
11:39:27,22.6,90.9,8,-0.3,-0.04,1
11:39:28,22.6,90.8,8,-0.3,-0.04,0.99
11:39:28,22.6,90.8,8,-0.3,-0.04,0.99
11:39:29,22.6,90.8,8,-0.3,-0.04,1
11:39:29,22.6,90.8,8,-0.3,-0.04,1
11:39:30,22.6,90.8,8,-0.3,-0.04,1
11:39:30,22.6,90.8,8,-0.3,-0.03,1
11:39:31,22.6,90.9,8,-0.3,-0.04,0.99
11:39:31,22.6,90.8,8,-0.3,-0.04,1
11:39:32,22.6,90.8,8,-0.3,-0.04,0.99
11:39:32,22.6,90.8,8,-0.3,-0.04,0.99
11:39:33,22.6,90.8,8,-0.3,-0.03,1
11:39:33,22.6,90.8,8,-0.3,-0.04,0.99
11:39:34,22.6,90.9,8,-0.3,-0.04,0.99
11:39:34,22.6,90.8,8,-0.3,-0.04,1
11:39:35,22.6,90.8,8,-0.3,-0.04,1
11:39:35,22.6,90.8,8,-0.3,-0.04,1
11:39:36,22.6,90.8,8,-0.3,-0.04,0.99
11:39:36,22.6,90.8,8,-0.3,-0.04,1
11:39:37,22.6,90.8,8,-0.3,-0.04,1
11:39:37,22.6,90.8,8,-0.3,-0.04,1
11:39:38,22.6,90.8,8,-0.3,-0.04,1
11:39:38,22.6,90.8,8,-0.3,-0.04,0.99
11:39:39,22.6,90.8,8,-0.3,-0.04,0.99
11:39:39,22.6,90.8,8,-0.3,-0.04,0.99
11:39:40,22.6,90.8,8,-0.3,-0.04,1
11:39:40,22.6,90.8,8,-0.3,-0.04,0.99
11:39:41,22.6,90.8,8,-0.3,-0.04,0.99
11:39:41,22.6,90.8,8,-0.3,-0.04,1
11:39:42,22.6,90.8,8,-0.3,-0.04,1
11:39:42,22.6,90.8,8,-0.3,-0.04,1
11:39:43,22.6,90.8,8,-0.3,-0.04,1
11:39:43,22.6,90.8,8,-0.3,-0.04,1
11:39:44,22.6,90.8,8,-0.3,-0.04,0.99
11:39:44,22.6,90.8,8,-0.3,-0.04,1
11:39:45,22.6,90.8,8,-0.3,-0.04,0.99
11:39:45,22.6,90.8,8,-0.3,-0.04,1
11:39:46,22.6,90.8,8,-0.3,-0.04,0.99
11:39:46,22.6,90.8,8,-0.3,-0.04,1
11:39:47,22.6,90.8,8,-0.3,-0.04,0.99
11:39:47,22.6,90.8,8,-0.3,-0.04,1
11:39:48,22.6,90.8,8,-0.3,-0.04,1
11:39:48,22.6,90.8,8,-0.3,-0.04,1
11:39:49,22.6,90.8,8,-0.3,-0.03,1
11:39:49,22.6,90.8,8,-0.3,-0.04,0.99
11:39:50,22.6,90.8,8,-0.3,-0.03,0.99
11:39:50,22.6,90.8,8,-0.3,-0.04,1
11:39:51,22.6,90.8,8,-0.3,-0.04,0.99
11:39:51,22.6,90.8,8,-0.3,-0.04,0.99
11:39:52,22.6,90.8,8,-0.3,-0.03,0.99
11:39:52,22.6,90.8,8,-0.3,-0.04,0.99
11:39:53,22.6,90.8,8,-0.3,-0.04,0.99
11:39:53,22.6,90.8,8,-0.3,-0.04,0.99
11:39:54,22.6,90.8,8,-0.3,-0.03,0.99
11:39:54,22.6,90.8,8,-0.3,-0.04,1
11:39:55,22.6,90.8,8,-0.3,-0.04,1
11:39:55,22.6,90.8,8,-0.3,-0.04,1
11:39:56,22.6,90.8,8,-0.3,-0.04,0.99
11:39:56,22.6,90.8,8,-0.3,-0.04,1
11:39:57,22.6,90.8,8,-0.3,-0.04,0.99
11:39:57,22.6,90.8,8,-0.3,-0.04,0.99
11:39:58,22.6,90.8,8,-0.3,-0.04,1
11:39:58,22.6,90.8,8,-0.3,-0.04,0.99
11:39:59,22.6,90.8,8,-0.3,-0.04,1
11:39:59,22.6,90.8,8,-0.3,-0.04,0.99
11:40:00,22.6,90.8,8,-0.3,-0.04,0.99
11:40:00,22.6,90.8,8,-0.3,-0.04,1
11:40:01,22.6,90.8,8,-0.3,-0.04,1
11:40:01,22.6,90.8,8,-0.3,-0.04,1
11:40:02,22.6,90.8,8,-0.3,-0.04,1
11:40:02,22.6,90.8,8,-0.3,-0.04,0.99
11:40:03,22.6,90.8,8,-0.3,-0.04,1
11:40:03,22.6,90.8,8,-0.3,-0.04,1
11:40:04,22.6,90.8,8,-0.3,-0.04,0.99
11:40:04,22.6,90.8,8,-0.3,-0.04,0.99
11:40:05,22.6,90.8,8,-0.3,-0.04,0.99
11:40:05,22.6,90.8,8,-0.3,-0.04,1
11:40:06,22.6,90.8,8,-0.3,-0.04,1
11:40:06,22.6,90.8,8,-0.3,-0.04,1
11:40:07,22.6,90.8,8,-0.3,-0.04,1
11:40:07,22.6,90.8,8,-0.3,-0.04,0.99
11:40:08,22.6,90.7,8,-0.3,-0.03,0.99
11:40:08,22.6,90.8,8,-0.3,-0.04,0.99
11:40:09,22.6,90.8,8,-0.3,-0.04,0.99
11:40:09,22.6,90.8,8,-0.3,-0.04,0.99
11:40:10,22.6,90.8,8,-0.3,-0.04,1
11:40:10,22.6,90.8,8,-0.3,-0.04,0.99
11:40:11,22.6,90.7,8,-0.3,-0.04,0.99
11:40:11,22.6,90.7,8,-0.3,-0.04,0.99
11:40:12,22.6,90.8,8,-0.3,-0.04,1
11:40:12,22.6,90.7,8,-0.3,-0.04,1
